fecha,producto,cantidad,precio
2024-01-03,Televisor LED 55",2,599.99
2024-01-05,Smartphone X2,4,399.50
2024-01-07,Laptop Pro,1,899.00
2024-01-09,Auriculares Bluetooth,5,49.99
2024-01-10,Tablet Lite,3,129.95
2024-01-12,Impresora Multifunción,1,199.75
2024-01-14,Teclado Inalámbrico,6,29.99
2024-01-16,Monitor 24",2,159.50
2024-01-18,Smartwatch V3,3,89.99
2024-01-20,Altavoz Inteligente,2,79.95
2024-01-22,Cámara Digital,1,299.00
2024-01-24,Disco Duro 1TB,4,59.99
2024-01-26,Ratón Gaming,5,45.50
2024-01-28,Router WiFi,2,89.99
2024-01-30,Microondas 20L,1,129.99
2024-02-02,Lavadora 8kg,1,449.00
2024-02-04,Refrigerador,1,699.00
2024-02-06,Batidora Profesional,3,39.99
2024-02-08,Cafetera Automática,2,59.95
2024-02-10,Licuadora,4,29.99
2024-02-12,Ventilador Torre,3,79.50
2024-02-14,Plancha de Vapor,2,34.99
2024-02-16,Secadora de Pelo,5,25.99
2024-02-18,Consola de Videojuegos,1,349.99
2024-02-20,Juego de Sartenes,2,49.95
2024-02-22,Silla de Oficina,1,129.99
2024-02-24,Mesa Plegable,3,69.99
2024-02-26,Lámpara LED,4,19.99
2024-02-28,Almohada Memory Foam,6,29.99
2024-03-02,Mochila para Laptop,2,39.95
2024-03-04,Power Bank 10000mAh,5,24.99
2024-03-06,Cargador Inalámbrico,3,19.99
2024-03-08,Funda para Smartphone,8,12.99
2024-03-10,Estuche para Laptop,2,25.50
2024-03-12,Webcam HD,1,45.99
2024-03-14,Microfono USB,1,59.99
2024-03-16,Tripode para Cámara,2,29.95
2024-03-18,Tarjeta de Memoria 128GB,4,19.99
2024-03-20,Dron Básico,1,149.99
2024-03-22,Reloj Inteligente Kids,3,69.99
2024-03-24,Bicicleta Estática,1,299.00
2024-03-26,Pesa Eléctrica,2,19.99
2024-03-28,Báscula Inteligente,3,34.95
2024-03-30,Barra de Sonido,1,129.99
2024-04-02,Proyector HD,1,199.00
2024-04-04,Ebook Reader,2,89.99
2024-04-06,Tablet Dibujo Digital,1,149.95
2024-04-08,Teclado Piano USB,1,79.99
2024-04-10,Maletín para Herramientas,2,49.99